,,,10,0.9,0.005,0.5,250
-61,22,10371,,,,,
-65.2,25,10382,,,,,
-62.5,25,10392,,,,,
-62.5,25,10402,,,,,
-59.7,23,10413,,,,,
-61.5,23,10423,,,,,
-55.9,19,10434,,,,,
-58.1,18,10444,,,,,
-57.6,17,10454,,,,,
-69.7,25,10465,,,,,
-62.5,25,10475,,,,,
-62.5,25,10485,,,,,
-54.1,19,10496,,,,,
-58.1,18,10506,,,,,
-60.4,19,10516,,,,,
-58.1,18,10527,,,,,
-59,18,10537,,,,,
-59,18,10548,,,,,
-59,18,10558,,,,,
-63.2,21,10569,,,,,
-61.9,22,10579,,,,,
-61,22,10590,,,,,
-59.6,21,10600,,,,,
-59.1,20,10610,,,,,
-58.6,19,10621,,,,,
-59.5,19,10632,,,,,
-59.5,19,10643,,,,,
-60.9,20,10653,,,,,
-60,20,10664,,,,,
-60,20,10674,,,,,
-60,20,10684,,,,,
-60,20,10695,,,,,
-69.8,27,10705,,,,,
-64.9,28,10715,,,,,
-66.8,30,10726,,,,,
-65,30,10736,,,,,
-60.8,27,10746,,,,,
-63.5,27,10757,,,,,
-49.5,17,10767,,,,,
-57.1,16,10778,,,,,
-74.8,28,10789,,,,,
-62.6,27,10799,,,,,
-63.5,27,10810,,,,,
-53.7,20,10821,,,,,
-54.4,16,10831,,,,,
-58,16,10841,,,,,
-58,16,10852,,,,,
-58,16,10863,,,,,
-58,16,10873,,,,,
-58,16,10884,,,,,
-58,16,10895,,,,,
-60.8,18,10906,,,,,
-64.6,22,10916,,,,,
-69.4,28,10926,,,,,
-57,23,10936,,,,,
-61.5,23,10947,,,,,
-58.7,21,10957,,,,,
-60.5,21,10968,,,,,
-56.3,18,10979,,,,,
-74.4,29,10989,,,,,
-61.7,27,11000,,,,,
-62.1,26,11010,,,,,
-63,26,11020,,,,,
-63,26,11031,,,,,
-63,26,11043,,,,,
-51.8,18,11054,,,,,
-61.8,20,11065,,,,,
-62.8,22,11075,,,,,
-61,22,11086,,,,,
-61,22,11096,,,,,
-61,22,11107,,,,,
-70.8,29,11117,,,,,
-54.7,22,11127,,,,,
-69.4,28,11138,,,,,
-50,18,11149,,,,,
-59,18,11159,,,,,
-59,18,11169,,,,,
-59,18,11180,,,,,
-59,18,11190,,,,,
-59,18,11201,,,,,
-59,18,11211,,,,,
-59,18,11222,,,,,
-57.6,17,11232,,,,,
-58.5,17,11243,,,,,
-55.7,15,11253,,,,,
-57.5,15,11264,,,,,
-57.5,15,11274,,,,,
-58.9,16,11284,,,,,
-60.8,18,11295,,,,,
-70.2,26,11305,,,,,
-61.6,25,11315,,,,,
-49.9,16,11326,,,,,
-56.6,15,11337,,,,,
-58.9,16,11347,,,,,
-58,16,11358,,,,,
-73.4,27,11369,,,,,
-52.3,19,11379,,,,,
-59.5,19,11390,,,,,
-60.9,20,11400,,,,,
-60,20,11411,,,,,
-60,20,11421,,,,,
-60,20,11432,,,,,
-60,20,11443,,,,,
-60,20,11453,,,,,
-60,20,11464,,,,,
-58.6,19,11475,,,,,
-49.7,12,11485,,,,,
-61.6,16,11496,,,,,
-58,16,11507,,,,,
-58,16,11517,,,,,
-58,16,11528,,,,,
-58,16,11538,,,,,
-58,16,11549,,,,,
-55.2,14,11559,,,,,
-57,14,11569,,,,,
-61.2,17,11580,,,,,
-59.9,18,11590,,,,,
-61.8,20,11601,,,,,
-72.6,29,11611,,,,,
-67.3,31,11621,,,,,
-62.7,29,11632,,,,,
-67.3,31,11642,,,,,
-64.1,30,11652,,,,,
-48.2,18,11663,,,,,
-59,18,11673,,,,,
-59,18,11684,,,,,
-59,18,11694,,,,,
-60.4,19,11705,,,,,
-59.5,19,11715,,,,,
-59.5,19,11726,,,,,
-62.3,21,11736,,,,,
-60.5,21,11746,,,,,
-61.9,22,11757,,,,,
-61,22,11767,,,,,
-59.6,21,11778,,,,,
-56.3,18,11788,,,,,
-53.4,14,11799,,,,,
-66.8,21,11809,,,,,
-61.9,22,11820,,,,,
-61,22,11830,,,,,
-61,22,11840,,,,,
-61,22,11851,,,,,
-61,22,11861,,,,,
-61,22,11871,,,,,
-61,22,11882,,,,,
-58.2,20,11892,,,,,
-60,20,11903,,,,,
-54.4,16,11913,,,,,
-58,16,11924,,,,,
-58,16,11934,,,,,
-58,16,11945,,,,,
-58,16,11956,,,,,
-62.2,19,11966,,,,,
-58.1,18,11977,,,,,
-56.2,16,11987,,,,,
-60.8,18,11998,,,,,
-60.4,19,12008,,,,,
-59.5,19,12018,,,,,
-74.9,30,12029,,,,,
-60.8,27,12039,,,,,
-63.5,27,12049,,,,,
-63.5,27,12060,,,,,
-48.1,16,12070,,,,,
-62.2,19,12081,,,,,
-60.9,20,12091,,,,,
-60,20,12102,,,,,
-60,20,12112,,,,,
-68.4,26,12123,,,,,
-54.6,20,12134,,,,,
-67,25,12144,,,,,
-62.5,25,12154,,,,,
-59.7,23,12165,,,,,
-51.7,16,12175,,,,,
-58,16,12186,,,,,
-60.8,18,12197,,,,,
-59,18,12207,,,,,
-61.8,20,12218,,,,,
-60,20,12228,,,,,
-62.8,22,12239,,,,,
-62.4,23,12249,,,,,
-60.1,22,12259,,,,,
-62.4,23,12270,,,,,
-61.5,23,12280,,,,,
-61.5,23,12291,,,,,
-69.9,29,12301,,,,,
-54.7,22,12312,,,,,
-61,22,12323,,,,,
-61,22,12333,,,,,
-72.2,30,12343,,,,,
-65,30,12353,,,,,
-65,30,12364,,,,,
-48.2,18,12374,,,,,
-59,18,12385,,,,,
-59,18,12395,,,,,
-59,18,12406,,,,,
-54.8,15,12417,,,,,
-72.9,26,12427,,,,,
-51.8,18,12437,,,,,
-59,18,12447,,,,,
-59,18,12458,,,,,
-59,18,12468,,,,,
-59,18,12479,,,,,
-59,18,12489,,,,,
-67.4,24,12500,,,,,
-55,19,12510,,,,,
-59.5,19,12521,,,,,
-59.5,19,12531,,,,,
-59.5,19,12542,,,,,
-59.5,19,12552,,,,,
-49.7,12,12563,,,,,
-56,12,12574,,,,,
-56,12,12584,,,,,
-65.8,19,12595,,,,,
-59.5,19,12606,,,,,
-59.5,19,12617,,,,,
-59.5,19,12627,,,,,
-59.5,19,12638,,,,,
-59.5,19,12649,,,,,
-55.3,16,12659,,,,,
-58,16,12670,,,,,
-58,16,12680,,,,,
-58,16,12691,,,,,
-58,16,12701,,,,,
-62.2,19,12712,,,,,
-59.5,19,12722,,,,,
-59.5,19,12733,,,,,
-59.5,19,12744,,,,,
-59.5,19,12755,,,,,
-49.7,12,12766,,,,,
-56,12,12777,,,,,
-60.2,15,12787,,,,,
-57.5,15,12798,,,,,
-58.9,16,12809,,,,,
-56.6,15,12819,,,,,
-57.5,15,12829,,,,,
-57.5,15,12840,,,,,
-57.5,15,12850,,,,,
-63.1,19,12861,,,,,
-59.5,19,12871,,,,,
-59.5,19,12881,,,,,
-74.9,30,12892,,,,,
-49.6,19,12902,,,,,
-59.5,19,12913,,,,,
-59.5,19,12923,,,,,
-60.9,20,12934,,,,,
-64.2,23,12945,,,,,
-62.9,24,12955,,,,,
-62,24,12965,,,,,
-76,34,12976,,,,,
-53,24,12986,,,,,
-60.6,23,12996,,,,,
-51.7,16,13007,,,,,
-58,16,13017,,,,,
-73.4,27,13028,,,,,
-63.5,27,13038,,,,,
-63.5,27,13049,,,,,
-63.5,27,13059,,,,,
-63.5,27,13070,,,,,
-48.1,16,13080,,,,,
-58,16,13091,,,,,
-62.2,19,13102,,,,,
-59.5,19,13112,,,,,
-59.5,19,13123,,,,,
-59.5,19,13134,,,,,
-60.9,20,13144,,,,,
-60,20,13155,,,,,
-55.8,17,13166,,,,,
-58.5,17,13177,,,,,
-58.5,17,13187,,,,,
-58.5,17,13198,,,,,
-58.5,17,13208,,,,,
-72.5,27,13219,,,,,
-49.5,17,13230,,,,,
-59.9,18,13240,,,,,
-57.6,17,13251,,,,,
-58.5,17,13262,,,,,
-58.5,17,13272,,,,,
-59.9,18,13283,,,,,
-57.6,17,13294,,,,,
-58.5,17,13305,,,,,
-58.5,17,13315,,,,,
-58.5,17,13325,,,,,
-58.5,17,13336,,,,,
-68.3,24,13347,,,,,
-52.2,17,13357,,,,,
-73.9,28,13368,,,,,
-54.2,21,13379,,,,,
-60.5,21,13389,,,,,
-60.5,21,13400,,,,,
-59.1,20,13411,,,,,
-60,20,13421,,,,,
-54.4,16,13432,,,,,
-58,16,13442,,,,,
-58,16,13453,,,,,
-60.8,18,13464,,,,,
-59,18,13474,,,,,
-59,18,13485,,,,,
-59,18,13495,,,,,
-59,18,13506,,,,,
-59,18,13517,,,,,
-64.6,22,13527,,,,,
-61,22,13538,,,,,
-61,22,13548,,,,,
-61,22,13560,,,,,
-61,22,13571,,,,,
-59.6,21,13593,,,,,
-57.7,19,13603,,,,,
-59.5,19,13613,,,,,
-74.9,30,13623,,,,,
-63.6,29,13634,,,,,
-64.5,29,13644,,,,,
-70.1,33,13654,,,,,
-66.5,33,13665,,,,,
-66.5,33,13675,,,,,
-66.5,33,13685,,,,,
-65.1,32,13696,,,,,
-47.8,19,13706,,,,,
-63.7,22,13717,,,,,
-55.4,18,13727,,,,,
-64.6,22,13738,,,,,
-70.8,29,13748,,,,,
-64.5,29,13758,,,,,
-65.9,30,13768,,,,,
-63.6,29,13779,,,,,
-65.9,30,13789,,,,,
-63.6,29,13799,,,,,
-64.5,29,13809,,,,,
-64.5,29,13820,,,,,
-64.5,29,13830,,,,,
-64.5,29,13840,,,,,
-63.1,28,13851,,,,,
-48.6,17,13862,,,,,
-57.1,16,13872,,,,,
-58,16,13883,,,,,
-65,21,13893,,,,,
-60.5,21,13903,,,,,
-59.1,20,13914,,,,,
-60,20,13924,,,,,
-60,20,13935,,,,,
-60,20,13945,,,,,
-60,20,13956,,,,,
-60,20,13966,,,,,
-58.6,19,13977,,,,,
-55.3,16,13987,,,,,
-58,16,13998,,,,,
-58,16,14008,,,,,
-59.4,17,14019,,,,,
-62.7,20,14029,,,,,
-60,20,14040,,,,,
-60,20,14051,,,,,
-60,20,14061,,,,,
-60,20,14072,,,,,
-58.6,19,14082,,,,,
-49.7,12,14093,,,,,
-60.2,15,14104,,,,,
-61.7,18,14114,,,,,
-59,18,14124,,,,,
-59,18,14135,,,,,
-59,18,14146,,,,,
-60.4,19,14156,,,,,
-59.5,19,14167,,,,,
-59.5,19,14178,,,,,
-59.5,19,14188,,,,,
-59.5,19,14199,,,,,
-59.5,19,14209,,,,,
-70.7,27,14219,,,,,
-67.7,30,14229,,,,,
-66.4,31,14240,,,,,
-64.1,30,14250,,,,,
-52.4,21,14262,,,,,
-61.9,22,14273,,,,,
-61,22,14283,,,,,
-61,22,14294,,,,,
-61,22,14305,,,,,
-59.6,21,14315,,,,,
-60.5,21,14325,,,,,
-71.7,29,14336,,,,,
-64.5,29,14346,,,,,
-61.7,27,14356,,,,,
-52.3,19,14367,,,,,
-58.1,18,14377,,,,,
-59,18,14387,,,,,
-74.4,29,14397,,,,,
-51.9,20,14407,,,,,
-58.6,19,14418,,,,,
-58.1,18,14428,,,,,
-59,18,14439,,,,,
-56.2,16,14449,,,,,
-58,16,14460,,,,,
-58,16,14471,,,,,
-58,16,14482,,,,,
-63.6,20,14493,,,,,
-60,20,14503,,,,,
-60,20,14513,,,,,
-60,20,14524,,,,,
-60,20,14535,,,,,
-58.6,19,14545,,,,,
-55.3,16,14556,,,,,
-58,16,14567,,,,,
-58,16,14578,,,,,
-58,16,14588,,,,,
-56.6,15,14599,,,,,
-54.7,13,14609,,,,,
-60.7,16,14620,,,,,
-58,16,14631,,,,,
-58,16,14642,,,,,
-58,16,14652,,,,,
-58,16,14663,,,,,
-58,16,14674,,,,,
-58,16,14684,,,,,
-58,16,14695,,,,,
-58,16,14706,,,,,
-58,16,14717,,,,,
-58,16,14728,,,,,
-58,16,14738,,,,,
-59.4,17,14748,,,,,
-68.3,24,14759,,,,,
-62,24,14769,,,,,
-63.4,25,14779,,,,,
-70.9,31,14789,,,,,
-66.9,32,14799,,,,,
-66,32,14810,,,,,
-66,32,14820,,,,,
-64.6,31,14830,,,,,
-65.5,31,14841,,,,,
-64.1,30,14851,,,,,
-63.6,29,14861,,,,,
-49.1,18,14872,,,,,
-59,18,14882,,,,,
-61.8,20,14893,,,,,
-62.8,22,14903,,,,,
-61,22,14914,,,,,
-61,22,14924,,,,,
-61,22,14934,,,,,
-61,22,14945,,,,,
-61,22,14956,,,,,
-61,22,14966,,,,,
-70.8,29,14977,,,,,
-53.3,21,14987,,,,,
-56.3,18,14997,,,,,
-59,18,15008,,,,,
-59,18,15018,,,,,
-59,18,15029,,,,,
-64.6,22,15039,,,,,
-61,22,15050,,,,,
-61,22,15060,,,,,
-61,22,15071,,,,,
-61,22,15081,,,,,
-66.6,26,15091,,,,,
-58.8,23,15101,,,,,
-51.7,16,15112,,,,,
-58,16,15122,,,,,
-58,16,15132,,,,,
-58,16,15143,,,,,
-58,16,15153,,,,,
-58,16,15164,,,,,
-58,16,15174,,,,,
-60.8,18,15185,,,,,
-56.2,16,15196,,,,,
-58,16,15206,,,,,
-58,16,15217,,,,,
-58,16,15228,,,,,
-62.2,19,15238,,,,,
-60.9,20,15249,,,,,
-60,20,15259,,,,,
-60,20,15270,,,,,
-58.6,19,15281,,,,,
-55.3,16,15292,,,,,
-58,16,15302,,,,,
-56.6,15,15313,,,,,
-58.9,16,15324,,,,,
-58,16,15335,,,,,
-58,16,15345,,,,,
-58,16,15356,,,,,
-58,16,15367,,,,,
-58,16,15377,,,,,
-58,16,15388,,,,,
-58,16,15399,,,,,
-56.6,15,15409,,,,,
-56.1,14,15419,,,,,
-57,14,15430,,,,,
-62.6,18,15441,,,,,
-59,18,15451,,,,,
-64.6,22,15461,,,,,
-61,22,15472,,,,,
-62.4,23,15482,,,,,
-61.5,23,15492,,,,,
-61.5,23,15503,,,,,
-60.1,22,15513,,,,,
-59.6,21,15524,,,,,
-60.5,21,15534,,,,,
-46.5,11,15545,,,,,
-70.9,22,15556,,,,,
-61,22,15566,,,,,
-61,22,15576,,,,,
-61,22,15587,,,,,
-61,22,15598,,,,,
-61,22,15608,,,,,
-70.8,29,15619,,,,,
-50.5,19,15629,,,,,
-59.5,19,15639,,,,,
-59.5,19,15650,,,,,
-58.1,18,15660,,,,,
-59,18,15671,,,,,
-59,18,15681,,,,,
-59,18,15692,,,,,
-59,18,15702,,,,,
-61.8,20,15713,,,,,
-60,20,15723,,,,,
-60,20,15734,,,,,
-58.6,19,15744,,,,,
-59.5,19,15755,,,,,
-59.5,19,15765,,,,,
-70.7,27,15775,,,,,
-49.5,17,15786,,,,,
-57.1,16,15796,,,,,
-58,16,15807,,,,,
-58,16,15818,,,,,
-58,16,15828,,,,,
-58,16,15839,,,,,
-59.4,17,15849,,,,,
-72.5,27,15859,,,,,
-64.9,28,15870,,,,,
-48.6,17,15880,,,,,
-57.1,16,15891,,,,,
-59.4,17,15901,,,,,
-57.1,16,15912,,,,,
-59.4,17,15923,,,,,
-57.1,16,15934,,,,,
-58,16,15944,,,,,
-58,16,15955,,,,,
-58,16,15966,,,,,
-63.6,20,15976,,,,,
-69.8,27,15987,,,,,
-63.5,27,15997,,,,,
-53.7,20,16008,,,,,
-60,20,16018,,,,,
-60,20,16029,,,,,
-58.6,19,16039,,,,,
-52.5,14,16049,,,,,
-66.8,21,16060,,,,,
-61.9,22,16070,,,,,
-61,22,16080,,,,,
-61,22,16091,,,,,
-61,22,16102,,,,,
-70.8,29,16112,,,,,
-64.5,29,16122,,,,,
-64.5,29,16133,,,,,
-54.7,22,16144,,,,,
-62.4,23,16154,,,,,
-65.7,26,16164,,,,,
-68.6,30,16174,,,,,
-66.4,31,16185,,,,,
-65.5,31,16195,,,,,
-65.5,31,16205,,,,,
-65.5,31,16216,,,,,
-65.5,31,16226,,,,,
-54.3,23,16236,,,,,
-61.5,23,16247,,,,,
-60.1,22,16257,,,,,
-51.2,15,16267,,,,,
-56.1,14,16278,,,,,
-58.4,15,16289,,,,,
-61.7,18,16300,,,,,
-59,18,16311,,,,,
-59,18,16321,,,,,
-59,18,16331,,,,,
-59,18,16342,,,,,
-59,18,16352,,,,,
-59,18,16362,,,,,
-54.8,15,16373,,,,,
-57.5,15,16383,,,,,
-57.5,15,16394,,,,,
-58.9,16,16404,,,,,
-58,16,16415,,,,,
-58,16,16425,,,,,
-58,16,16436,,,,,
-72,26,16446,,,,,
-49,16,16457,,,,,
-58,16,16467,,,,,
-58,16,16478,,,,,
-62.2,19,16489,,,,,
-59.5,19,16499,,,,,
-59.5,19,16509,,,,,
194.3,19,16530,,,,,
-59.5,19,16541,,,,,
-55.3,16,16551,,,,,
-73.4,27,16562,,,,,
-52.3,19,16573,,,,,
-73.5,29,16583,,,,,
-50.5,19,16594,,,,,
-59.5,19,16605,,,,,
-59.5,19,16615,,,,,
-49.7,12,16626,,,,,
-57.4,13,16637,,,,,
-59.3,15,16647,,,,,
-58.9,16,16658,,,,,
-59.4,17,16668,,,,,
-59.9,18,16679,,,,,
-59,18,16689,,,,,
-60.4,19,16700,,,,,
-59.5,19,16710,,,,,
-59.5,19,16720,,,,,
-59.5,19,16730,,,,,
-56.7,17,16741,,,,,
-55.7,15,16751,,,,,
-57.5,15,16761,,,,,
-60.3,17,16772,,,,,
-59.9,18,16783,,,,,
-59,18,16793,,,,,
-59,18,16804,,,,,
-59,18,16814,,,,,
-59,18,16824,,,,,
-59,18,16835,,,,,
-59,18,16845,,,,,
-54.8,15,16855,,,,,
-56.1,14,16866,,,,,
-57,14,16877,,,,,
-62.6,18,16887,,,,,
-60.4,19,16898,,,,,
-59.5,19,16908,,,,,
-63.7,22,16918,,,,,
-61,22,16929,,,,,
-62.4,23,16940,,,,,
-60.1,22,16951,,,,,
-61,22,16961,,,,,
-56.8,19,16972,,,,,
-59.5,19,16983,,,,,
-59.5,19,16993,,,,,
-62.3,21,17004,,,,,
-60.5,21,17015,,,,,
-60.5,21,17025,,,,,
-60.5,21,17036,,,,,
-60.5,21,17047,,,,,
-54.9,17,17057,,,,,
-58.5,17,17068,,,,,
-58.5,17,17079,,,,,
-58.5,17,17089,,,,,
-54.3,14,17100,,,,,
-57,14,17111,,,,,
-55.6,13,17122,,,,,
-56.5,13,17133,,,,,
-56.5,13,17143,,,,,
-56.5,13,17154,,,,,
-57.9,14,17165,,,,,
-55.6,13,17175,,,,,
-62.1,17,17187,,,,,
-58.5,17,17198,,,,,
-58.5,17,17209,,,,,
-58.5,17,17219,,,,,
-58.5,17,17230,,,,,
-58.5,17,17241,,,,,
-58.5,17,17252,,,,,
-58.5,17,17262,,,,,
-62.7,20,17273,,,,,
-61.4,21,17284,,,,,
-75.9,32,17294,,,,,
-50.6,21,17305,,,,,
-60.5,21,17315,,,,,
-73.1,30,17325,,,,,
-65,30,17336,,,,,
-65,30,17346,,,,,
-65,30,17356,,,,,
-51,20,17366,,,,,
-60,20,17380,,,,,
-60,20,17390,,,,,
-58.6,19,17400,,,,,
-59.5,19,17411,,,,,
-59.5,19,17421,,,,,
-67.9,25,17432,,,,,
-62.5,25,17442,,,,,
-48.5,15,17453,,,,,
-72.9,26,17463,,,,,
-47.6,15,17474,,,,,
-57.5,15,17484,,,,,
-58.9,16,17495,,,,,
-56.6,15,17505,,,,,
-57.5,15,17516,,,,,
-57.5,15,17526,,,,,
-57.5,15,17536,,,,,
-57.5,15,17547,,,,,
-57.5,15,17557,,,,,
-57.5,15,17568,,,,,
-61.7,18,17578,,,,,
-68.8,25,17589,,,,,
-54.1,19,17599,,,,,
-59.5,19,17610,,,,,
-59.5,19,17620,,,,,
-59.5,19,17630,,,,,
-66.5,24,17641,,,,,
-53.6,18,17651,,,,,
-59,18,17661,,,,,
-67.4,24,17672,,,,,
-50.8,16,17682,,,,,
-73.4,27,17693,,,,,
-49.5,17,17704,,,,,
-57.1,16,17714,,,,,
-58,16,17724,,,,,
-58,16,17735,,,,,
-58,16,17746,,,,,
-58,16,17756,,,,,
-58,16,17767,,,,,
-58,16,17778,,,,,
-58,16,17788,,,,,
-53.8,13,17799,,,,,
-60.7,16,17809,,,,,
-58,16,17820,,,,,
-67.8,23,17830,,,,,
-51.7,16,17840,,,,,
-72,26,17851,,,,,
-49,16,17862,,,,,
-58,16,17872,,,,,
-58,16,17883,,,,,
-58,16,17893,,,,,
-58,16,17904,,,,,
-58,16,17915,,,,,
-58,16,17925,,,,,
-56.6,15,17936,,,,,
-70.1,24,17946,,,,,
-57.8,21,17956,,,,,
-52.1,15,17967,,,,,
-57.5,15,17977,,,,,
-56.1,14,17988,,,,,
-57,14,17999,,,,,
-66.8,21,18009,,,,,
-63.3,23,18020,,,,,
-75.5,33,18030,,,,,
-66.5,33,18040,,,,,
-55.3,25,18051,,,,,
-62.5,25,18061,,,,,
-49.9,16,18071,,,,,
-60.8,18,18081,,,,,
-66,23,18092,,,,,
-69.9,29,18102,,,,,
-67.3,31,18112,,,,,
-64.1,30,18123,,,,,
-51,20,18133,,,,,
-57.2,18,18144,,,,,
-59,18,18155,,,,,
-59,18,18165,,,,,
-59,18,18176,,,,,
-60.4,19,18186,,,,,
-59.5,19,18197,,,,,
-59.5,19,18207,,,,,
-59.5,19,18218,,,,,
-58.1,18,18229,,,,,
-60.4,19,18239,,,,,
-58.1,18,18250,,,,,
-60.4,19,18260,,,,,
-67.9,25,18270,,,,,
-65.3,27,18281,,,,,
-62.1,26,18291,,,,,
-61.6,25,18302,,,,,
-61.1,24,18312,,,,,
-62,24,18322,,,,,
-50.8,16,18333,,,,,
-58,16,18343,,,,,
-58,16,18354,,,,,
-58,16,18364,,,,,
-56.6,15,18374,,,,,
-53.3,12,18385,,,,,
-56,12,18396,,,,,
-56,12,18407,,,,,
-56,12,18418,,,,,
-56,12,18428,,,,,
-61.6,16,18439,,,,,
-58,16,18449,,,,,
-74.8,28,18460,,,,,
-52.8,20,18470,,,,,
-60,20,18481,,,,,
-60,20,18491,,,,,
-60,20,18502,,,,,
-60,20,18513,,,,,
-60,20,18523,,,,,
-60,20,18534,,,,,
-60,20,18545,,,,,
-60,20,18555,,,,,
-58.6,19,18566,,,,,
-49.7,12,18577,,,,,
-58.8,14,18588,,,,,
-57,14,18606,,,,,
-58.4,15,18626,,,,,
-57.5,15,18636,,,,,
-67.3,22,18646,,,,,
-51.2,15,18657,,,,,
-57.5,15,18667,,,,,
-63.1,19,18677,,,,,
-58.1,18,18688,,,,,
-59,18,18698,,,,,
-59,18,18709,,,,,
-59,18,18719,,,,,
-59,18,18730,,,,,
-68.8,25,18741,,,,,
-62.5,25,18751,,,,,
-52.7,18,18761,,,,,
-59,18,18772,,,,,
-59,18,18782,,,,,
-59,18,18793,,,,,
-59,18,18804,,,,,
-59,18,18814,,,,,
-60.4,19,18825,,,,,
-59.5,19,18835,,,,,
-73.5,29,18846,,,,,
-50.5,19,18856,,,,,
-73.5,29,18867,,,,,
-64.5,29,18877,,,,,
-51.9,20,18887,,,,,
-60,20,18898,,,,,
-57.2,18,18908,,,,,
-59,18,18918,,,,,
-56.2,16,18929,,,,,
-58,16,18939,,,,,
-56.6,15,18950,,,,,
-58.9,16,18961,,,,,
-58,16,18971,,,,,
-58,16,18981,,,,,
-67.8,23,18992,,,,,
-46.1,12,19002,,,,,
-56,12,19013,,,,,
-61.6,16,19023,,,,,
-58,16,19033,,,,,
-70.6,25,19044,,,,,
-66.7,28,19054,,,,,
-47.2,16,19064,,,,,
-48.2,9,19075,,,,,
-53.1,8,19086,,,,,
-54,8,19096,,,,,
-69.4,19,19107,,,,,
-60.9,20,19118,,,,,
-60,20,19129,,,,,
-60,20,19139,,,,,
-60,20,19150,,,,,
-61.4,21,19161,,,,,
-68.9,27,19171,,,,,
-63.5,27,19181,,,,,
-64.9,28,19192,,,,,
-62.6,27,19202,,,,,
-63.5,27,19213,,,,,
-50.9,18,19223,,,,,
-59,18,19233,,,,,
-59,18,19244,,,,,
-64.6,22,19254,,,,,
-61,22,19265,,,,,
-62.4,23,19275,,,,,
-61.5,23,19286,,,,,
-61.5,23,19296,,,,,
-60.1,22,19307,,,,,
-65.2,25,19317,,,,,
-55.5,20,19327,,,,,
-69.8,27,19338,,,,,
-52.3,19,19348,,,,,
-59.5,19,19358,,,,,
-58.1,18,19369,,,,,
-59,18,19379,,,,,
-56.2,16,19390,,,,,
-58,16,19400,,,,,
-60.8,18,19411,,,,,
-59,18,19421,,,,,
-59,18,19431,,,,,
-59,18,19442,,,,,
-59,18,19453,,,,,
-59,18,19463,,,,,
-59,18,19474,,,,,
-59,18,19484,,,,,
-74.4,29,19495,,,,,
-67.3,31,19505,,,,,
-66.9,32,19515,,,,,
-66,32,19525,,,,,
-66,32,19536,,,,,
-66,32,19546,,,,,
-68.8,34,19556,,,,,
-65.6,33,19566,,,,,
-62.3,30,19577,,,,,
-65,30,19587,,,,,
-62.2,28,19597,,,,,
-64,28,19607,,,,,
-65.4,29,19618,,,,,
-64.5,29,19628,,,,,
-64.5,29,19638,,,,,
-44.9,15,19649,,,,,
-54.7,13,19660,,,,,
-55.1,12,19670,,,,,
-61.6,16,19681,,,,,
-58,16,19691,,,,,
-58,16,19702,,,,,
-58,16,19713,,,,,
-58,16,19724,,,,,
-58,16,19734,,,,,
-58,16,19745,,,,,
-58,16,19755,,,,,
-58,16,19766,,,,,
-58,16,19777,,,,,
-60.8,18,19787,,,,,
-56.2,16,19797,,,,,
-58,16,19808,,,,,
-58,16,19819,,,,,
-58,16,19829,,,,,
-58,16,19840,,,,,
-58,16,19851,,,,,
-62.2,19,19862,,,,,
-59.5,19,19872,,,,,
-70.7,27,19882,,,,,
-53.7,20,19893,,,,,
-71.2,28,19903,,,,,
-50,18,19913,,,,,
-59,18,19923,,,,,
-59,18,19934,,,,,
-59,18,19945,,,,,
-64.6,22,19955,,,,,
-61,22,19965,,,,,
-61,22,19976,,,,,
-61,22,19987,,,,,
-61,22,19997,,,,,
-55.4,18,20008,,,,,
-59,18,20018,,,,,
-63.2,21,20029,,,,,
-61.9,22,20039,,,,,
-61,22,20050,,,,,
-61,22,20060,,,,,
-61,22,20071,,,,,
-61,22,20081,,,,,
-73.6,31,20091,,,,,
-65.5,31,20101,,,,,
-65.5,31,20112,,,,,
-64.1,30,20122,,,,,
-63.6,29,20132,,,,,
-50.5,19,20143,,,,,
-58.1,18,20153,,,,,
-59,18,20164,,,,,
-59,18,20174,,,,,
-57.6,17,20184,,,,,
-58.5,17,20195,,,,,
-58.5,17,20205,,,,,
-57.1,16,20216,,,,,
-58,16,20226,,,,,
-73.4,27,20237,,,,,
-46.7,15,20248,,,,,
-57.5,15,20258,,,,,
-68.7,23,20269,,,,,
-61.5,23,20279,,,,,
-50.3,15,20290,,,,,
-68.7,23,20301,,,,,
-50.3,15,20312,,,,,
-58.9,16,20323,,,,,
-58,16,20333,,,,,
-58,16,20344,,,,,
-58,16,20354,,,,,
-58,16,20365,,,,,
-65,21,20375,,,,,
-59.1,20,20386,,,,,
-60,20,20397,,,,,
-61.4,21,20408,,,,,
-70.3,28,20418,,,,,
-52.8,20,20429,,,,,
-58.6,19,20439,,,,,
-53.9,15,20450,,,,,
-63.1,19,20460,,,,,
-59.5,19,20471,,,,,
-59.5,19,20481,,,,,
-60.9,20,20492,,,,,
-58.6,19,20503,,,,,
-67.9,25,20513,,,,,
-62.5,25,20523,,,,,
-62.5,25,20533,,,,,
-62.5,25,20544,,,,,
-52.7,18,20554,,,,,
-59,18,20565,,,,,
-59,18,20576,,,,,
-59,18,20587,,,,,
-54.8,15,20597,,,,,
-56.1,14,20607,,,,,
-62.6,18,20618,,,,,
-59,18,20628,,,,,
-59,18,20638,,,,,
-59,18,20649,,,,,
-59,18,20660,,,,,
-63.2,21,20670,,,,,
-56.3,18,20681,,,,,
-59,18,20691,,,,,
-59,18,20702,,,,,
