,,,10,0.9,0.005,0.5,250
97.2,-98,2394,,,,,
90.6,-92,2405,,,,,
107.2,-100,2416,,,,,
119.6,-114,2426,,,,,
112.6,-118,2437,,,,,
104.8,-115,2448,,,,,
107.5,-115,2458,,,,,
97.7,-108,2468,,,,,
102.6,-107,2479,,,,,
104.9,-108,2490,,,,,
144.6,-137,2501,,,,,
122.7,-140,2511,,,,,
136.8,-152,2521,,,,,
107.8,-139,2532,,,,,
78.9,-110,2543,,,,,
105,-110,2554,,,,,
105,-110,2565,,,,,
105,-110,2575,,,,,
112,-115,2586,,,,,
121.5,-125,2596,,,,,
98.5,-115,2606,,,,,
87.9,-101,2617,,,,,
99.1,-100,2627,,,,,
98.6,-99,2638,,,,,
100.9,-100,2649,,,,,
102.8,-102,2660,,,,,
102.4,-103,2670,,,,,
104.3,-105,2680,,,,,
96.9,-101,2690,,,,,
66.9,-77,2701,,,,,
73.1,-66,2711,,,,,
83,-66,2721,,,,,
83,-66,2732,,,,,
120.8,-93,2742,,,,,
99.3,-95,2753,,,,,
94.7,-93,2763,,,,,
57.3,-65,2774,,,,,
82.5,-65,2784,,,,,
82.5,-65,2795,,,,,
82.5,-65,2805,,,,,
82.5,-65,2816,,,,,
79.7,-63,2826,,,,,
73.1,-57,2836,,,,,
86.9,-63,2847,,,,,
84.3,-65,2857,,,,,
97.9,-76,2867,,,,,
89.4,-77,2877,,,,,
71.7,-65,2887,,,,,
68.5,-55,2898,,,,,
77.5,-55,2909,,,,,
77.5,-55,2920,,,,,
81.7,-58,2930,,,,,
87.4,-64,2940,,,,,
82,-64,2951,,,,,
65.2,-52,2961,,,,,
66.2,-45,2972,,,,,
71.1,-44,2982,,,,,
60.8,-36,2993,,,,,
69.4,-37,3003,,,,,
67.1,-36,3013,,,,,
62.4,-32,3024,,,,,
56.2,-25,3035,,,,,
59.7,-23,3045,,,,,
54.5,-18,3056,,,,,
59,-18,3066,,,,,
53.4,-14,3077,,,,,
57,-14,3087,,,,,
57,-14,3098,,,,,
54.2,-12,3109,,,,,
42,-2,3119,,,,,
48.2,0,3129,,,,,
50,0,3140,,,,,
45.785,3,3151,,,,,
35.825,12,3161,,,,,
34.03,19,3171,,,,,
40.235,19,3182,,,,,
37.33,21,3193,,,,,
30.595,27,3203,,,,,
34.455,28,3214,,,,,
32.405,30,3224,,,,,
20.005,40,3235,,,,,
17.565,48,3245,,,,,
23.12,49,3255,,,,,
5.51,62,3266,,,,,
9.875,67,3276,,,,,
11.23,69,3286,,,,,
-2.77001,80,3296,,,,,
6.72999,80,3307,,,,,
6.32999,80,3317,,,,,
3.11999,82,3328,,,,,
4.50999,82,3338,,,,,
4.09999,82,3349,,,,,
-27.22,104,3359,,,,,
-7.94001,104,3370,,,,,
-9.86501,105,3380,,,,,
-23.54,115,3390,,,,,
-23.545,121,3401,,,,,
-20.155,122,3411,,,,,
-32.51,131,3421,,,,,
-29.28,134,3432,,,,,
-35.68,140,3442,,,,,
-35.195,143,3452,,,,,
-45.855,152,3463,,,,,
-38.515,152,3473,,,,,
-39.275,152,3484,,,,,
-40.035,152,3494,,,,,
-54.845,162,3505,,,,,
-46.655,162,3522,,,,,
-51.68,165,3533,,,,,
-52.615,167,3543,,,,,
-51.65,167,3554,,,,,
-52.485,167,3564,,,,,
-53.32,167,3575,,,,,
-59.775,171,3586,,,,,
-57.03,171,3596,,,,,
-57.885,171,3607,,,,,
-57.335,170,3618,,,,,
-59.085,170,3629,,,,,
-59.935,170,3639,,,,,
-70.62,177,3650,,,,,
-51.155,167,3660,,,,,
-72.23,175,3670,,,,,
-54.665,167,3681,,,,,
-58.485,164,3691,,,,,
-62.005,164,3702,,,,,
-61.42,163,3712,,,,,
-63.135,163,3722,,,,,
-69.57,167,3733,,,,,
-66.805,167,3743,,,,,
-53.59,157,3753,,,,,
-63.375,157,3764,,,,,
-64.16,157,3774,,,,,
-63.54,156,3785,,,,,
-70.84,160,3795,,,,,
-65.23,158,3806,,,,,
-55.175,149,3816,,,,,
-64.02,149,3826,,,,,
-63.36,148,3837,,,,,
-62.19,146,3847,,,,,
-64.72,146,3858,,,,,
-64.045,145,3868,,,,,
-61.455,142,3878,,,,,
-64.865,142,3889,,,,,
-71.195,146,3900,,,,,
-58.49,139,3910,,,,,
-76.725,147,3921,,,,,
-230.43,261,3931,,,,,
45.085,137,3942,,,,,
-67.2,137,3952,,,,,
-67.885,137,3963,,,,,
-68.57,137,3974,,,,,
-69.255,137,3984,,,,,
-71.345,138,3995,,,,,
-69.73,137,4005,,,,,
-61.48,130,4015,,,,,
-68.43,130,4026,,,,,
-64.865,127,4036,,,,,
-66.795,126,4047,,,,,
-66.92,125,4058,,,,,
-68.445,125,4068,,,,,
-64.855,122,4079,,,,,
-58.33,115,4089,,,,,
-63.8,114,4100,,,,,
-56.84,108,4110,,,,,
-61.375,107,4121,,,,,
-62.81,107,4131,,,,,
-75.99,116,4141,,,,,
-68.47,116,4152,,,,,
-69.05,116,4162,,,,,
-69.63,116,4172,,,,,
-49.135,101,4183,,,,,
-61.735,100,4194,,,,,
-63.135,100,4204,,,,,
-63.635,100,4215,,,,,
-61.325,98,4225,,,,,
-53.78,91,4236,,,,,
-60.535,91,4247,,,,,
-66.61,95,4258,,,,,
-63.485,95,4268,,,,,
-63.96,95,4278,,,,,
-47.575,83,4289,,,,,
-58.79,83,4299,,,,,
-53.585,79,4310,,,,,
-57.58,79,4321,,,,,
-57.975,79,4332,,,,,
-54.155,76,4342,,,,,
-55.83,75,4353,,,,,
-57.105,75,4364,,,,,
-57.48,75,4374,,,,,
-59.26,76,4385,,,,,
-57.335,75,4396,,,,,
-58.61,75,4406,,,,,
-58.985,75,4417,,,,,
-55.145,72,4428,,,,,
-58.205,72,4438,,,,,
-58.565,72,4449,,,,,
-49.09,65,4460,,,,,
-55.715,65,4470,,,,,
-56.04,65,4481,,,,,
-59.175,67,4492,,,,,
-59.115,68,4502,,,,,
-57.15,67,4512,,,,,
-58.385,67,4523,,,,,
-58.72,67,4533,,,,,
-59.055,67,4544,,,,,
-60.795,68,4555,,,,,
-54.615,64,4565,,,,,
-58.535,64,4575,,,,,
-58.855,64,4586,,,,,
-59.175,64,4597,,,,,
-59.495,64,4608,,,,,
-55.6,61,4619,,,,,
-58.605,61,4629,,,,,
-58.91,61,4640,,,,,
-59.215,61,4650,,,,,
-59.52,61,4660,,,,,
